angle,angular_velocity,-3,0,3
-2.3961,-25.3744,-10.197381484557752,0.0,0.0
-2.3961,-22.9578,-1061.2692831736456,-1062.2960235426046,-1071.9932743992897
-2.3961,-20.5412,-1294.4040709432454,-1291.0210753159615,-1293.1874010025115
-2.3961,-18.1246,-1349.3323527595373,-1346.5901408407778,-1347.1607825732488
-2.3961,-15.708,-1399.521830865778,-1398.7071929693034,-1399.4769116012749
-2.3961,-13.2914,-1414.7677239742648,-1415.1564088231462,-1414.863950949437
-2.3961,-10.8747,-1428.941026140711,-1428.923804997948,-1429.0191263759752
-2.3961,-8.4581,-1427.433602228689,-1426.4632875190807,-1426.930981886569
-2.3961,-6.0415,-1412.5400334402811,-1414.0134812393778,-1412.0712228074085
-2.3961,-3.6249,-1388.9635259496335,-1385.9233655565438,-1387.336910651383
-2.3961,-1.2083,-1332.8360197540064,-1336.8770073325218,-1334.742493821176
-2.3961,1.2083,-1290.474213323303,-1286.925244739019,-1283.3305018643362
-2.3961,3.6249,-1207.0130145851313,-1199.8916150564949,-1198.4662121475458
-2.3961,6.0415,-1114.3015066665932,-1107.333280003924,-1101.649600134821
-2.3961,8.4581,-1010.6531909861746,-999.1438877435403,-1004.8415316684021
-2.3961,10.8747,-935.6596866297346,-932.6986183618063,-933.7795543724817
-2.3961,13.2914,-844.6205915181861,-848.3147692902393,-846.9093482271878
-2.3961,15.708,-772.2953318030858,-767.5720078773086,-772.1018655408498
-2.3961,18.1246,-723.9026337847321,-723.4148252804805,-719.6901327561554
-2.3961,20.5412,-682.9324431379044,-679.794910929339,-681.4011088821251
-2.3961,22.9578,-602.9024637532248,-599.9198401371175,-599.9766244983841
-2.3961,25.3744,-288.4490055496087,-270.91421240868294,-302.0726963333149
-2.3961,27.791,0.0,0.0,0.0
-2.3961,30.2076,0.0,0.0,0.0
-2.3961,32.6242,0.0,0.0,0.0
-2.3961,35.0408,0.0,0.0,0.0
-2.3961,37.4575,0.0,0.0,0.0
-2.3961,39.8741,0.0,0.0,0.0
-2.3961,42.2907,0.0,0.0,0.0
-2.3961,44.7073,0.0,0.0,0.0
-2.3961,47.1239,0.0,0.0,0.0
-2.2896,-47.1239,0.0,0.0,0.0
-2.2896,-44.7073,0.0,0.0,0.0
-2.2896,-42.2907,0.0,0.0,0.0
-2.2896,-39.8741,0.0,0.0,0.0
-2.2896,-37.4575,0.0,0.0,0.0
-2.2896,-35.0408,0.0,0.0,0.0
-2.2896,-32.6242,0.0,0.0,0.0
-2.2896,-30.2076,0.0,0.0,0.0
-2.2896,-27.791,0.0,0.0,0.0
-2.2896,-25.3744,0.0,0.0,0.0
-2.2896,-22.9578,-906.4458877283566,-913.0800002169997,-919.9133126622954
-2.2896,-20.5412,-1226.5415697535539,-1272.8730245733852,-1268.743577999941
-2.2896,-18.1246,-1341.5112667686483,-1344.4519080998143,-1346.9004935866942
-2.2896,-15.708,-1397.2036555956802,-1398.4930894073598,-1398.4713360955134
-2.2896,-13.2914,-1414.1800046967426,-1413.799489360188,-1413.7752370758953
-2.2896,-10.8747,-1425.1344626264881,-1426.253325701814,-1428.2283054584918
-2.2896,-8.4581,-1421.4355508066772,-1420.631903011597,-1420.8165969614104
-2.2896,-6.0415,-1399.9951455074852,-1396.508026884625,-1396.0890694859706
-2.2896,-3.6249,-1364.7931064738705,-1368.9314306115175,-1364.3255415400722
-2.2896,-1.2083,-1314.750667154783,-1317.446203946502,-1315.1858451226042
-2.2896,1.2083,-1245.390027941773,-1242.25568357716,-1239.0509755430623
-2.2896,3.6249,-1165.325961128853,-1168.3741442644546,-1150.3255612949338
-2.2896,6.0415,-1068.376621308102,-1065.8236341287588,-1069.5717110786518
-2.2896,8.4581,-958.3892730212204,-948.0007154761225,-953.1075013696484
-2.2896,10.8747,-874.1812176643818,-871.2147342691235,-869.1537952805088
-2.2896,13.2914,-806.2028576016487,-783.5192603522219,-796.8521436433107
-2.2896,15.708,-720.1747028113621,-717.2005363177873,-703.9199168321329
-2.2896,18.1246,-669.9140871850984,-662.0490459016439,-662.2142998463437
-2.2896,20.5412,-621.2174710124757,-619.9493400454446,-620.1023227052742
-2.2896,22.9578,-557.5486164915752,-553.7545798802992,-548.5635031782247
-2.2896,25.3744,-214.45951431717316,-207.16126347286271,-186.7965787815447
-2.2896,27.791,0.0,0.0,0.0
-2.2896,30.2076,0.0,0.0,0.0
-2.2896,32.6242,0.0,0.0,0.0
-2.2896,35.0408,0.0,0.0,0.0
-2.2896,37.4575,0.0,0.0,0.0
-2.2896,39.8741,0.0,0.0,0.0
-2.2896,42.2907,0.0,0.0,0.0
-2.2896,44.7073,0.0,0.0,0.0
-2.2896,47.1239,0.0,0.0,0.0
-2.1831,-47.1239,0.0,0.0,0.0
-2.1831,-44.7073,0.0,0.0,0.0
-2.1831,-42.2907,0.0,0.0,0.0
-2.1831,-39.8741,0.0,0.0,0.0
-2.1831,-37.4575,0.0,0.0,0.0
-2.1831,-35.0408,0.0,0.0,0.0
-2.1831,-32.6242,0.0,0.0,0.0
-2.1831,-30.2076,0.0,0.0,0.0
-2.1831,-27.791,0.0,0.0,0.0
-2.1831,-25.3744,-9.544316991668978,0.0,0.0
-2.1831,-22.9578,-428.98027845176745,-414.45631561472754,-442.62897819509436
-2.1831,-20.5412,-1221.5472843072557,-1221.6474426629463,-1215.3868926275372
-2.1831,-18.1246,-1332.1135743890793,-1334.633955970201,-1335.7700524501022
-2.1831,-15.708,-1392.8887665491757,-1391.2626304347887,-1392.0816253462638
-2.1831,-13.2914,-1413.4385345798694,-1413.8339911427452,-1415.3670705668028
-2.1831,-10.8747,-1416.6724464346933,-1418.1581605007038,-1418.3699795915156
-2.1831,-8.4581,-1409.6912516624639,-1409.3580929449313,-1411.559912235877
-2.1831,-6.0415,-1385.3481686233151,-1384.7072603200056,-1384.2588795025943
-2.1831,-3.6249,-1343.6307301975503,-1342.2723442278334,-1340.9464428253623
-2.1831,-1.2083,-1288.0926182084509,-1288.4433111177968,-1284.4917126358332
-2.1831,1.2083,-1210.4874293390194,-1203.9320553628838,-1201.0046352622498
-2.1831,3.6249,-1114.1235874004701,-1115.6682265717345,-1109.409046240498
-2.1831,6.0415,-1002.4017944996258,-993.7162431963997,-1002.3271516864521
-2.1831,8.4581,-916.5273418570229,-916.7152210504619,-909.6993689639853
-2.1831,10.8747,-825.5349339325923,-808.9078723349962,-800.676922084829
-2.1831,13.2914,-737.3954410591351,-734.9084914742347,-737.7967751356464
-2.1831,15.708,-650.8209009034362,-636.4948073094191,-644.3267643005538
-2.1831,18.1246,-614.5315862650244,-609.9356782043736,-616.4561634660366
-2.1831,20.5412,-567.6827431294025,-567.8173042648003,-567.7508202543921
-2.1831,22.9578,-490.02591369309687,-479.1102952915079,-474.2921997714172
-2.1831,25.3744,-142.66231298385475,-132.42380442277232,-126.7693412500609
-2.1831,27.791,0.0,0.0,0.0
-2.1831,30.2076,0.0,0.0,0.0
-2.1831,32.6242,0.0,0.0,0.0
-2.1831,35.0408,0.0,0.0,0.0
-2.1831,37.4575,0.0,0.0,0.0
-2.1831,39.8741,0.0,0.0,0.0
-2.1831,42.2907,0.0,0.0,0.0
-2.1831,44.7073,0.0,0.0,0.0
-2.1831,47.1239,0.0,0.0,0.0
-2.0766,-47.1239,0.0,0.0,0.0
-2.0766,-44.7073,0.0,0.0,0.0
-2.0766,-42.2907,0.0,0.0,0.0
-2.0766,-39.8741,0.0,0.0,0.0
-2.0766,-37.4575,0.0,0.0,0.0
-2.0766,-35.0408,0.0,0.0,0.0
-2.0766,-32.6242,0.0,0.0,0.0
-2.0766,-30.2076,0.0,0.0,0.0
-2.0766,-27.791,0.0,0.0,0.0
-2.0766,-25.3744,0.0,0.0,0.0
-2.0766,-22.9578,-133.68004227833976,-123.02085700909798,-105.6225703229476
-2.0766,-20.5412,-1030.3248307994718,-1087.295093784773,-1080.0610737993602
-2.0766,-18.1246,-1307.741031956135,-1305.3409081981238,-1304.4788968261441
-2.0766,-15.708,-1368.6704932906362,-1366.2191985391387,-1364.6409957715814
-2.0766,-13.2914,-1406.1518835524114,-1406.7849774077008,-1406.4374004069512
-2.0766,-10.8747,-1402.016115653376,-1403.2731612644038,-1404.723091644791
-2.0766,-8.4581,-1391.6432153108865,-1392.5449087407128,-1391.5216181111034
-2.0766,-6.0415,-1368.2063856772675,-1368.0127826241553,-1367.4492175986802
-2.0766,-3.6249,-1319.1152309724569,-1319.1954173989527,-1319.8868566886322
-2.0766,-1.2083,-1247.117462150026,-1249.0975695120108,-1250.8418619058418
-2.0766,1.2083,-1176.5876679426872,-1173.8689548312675,-1169.7989651143052
-2.0766,3.6249,-1079.0312090311945,-1075.6289233857588,-1067.6195858012736
-2.0766,6.0415,-977.1611452084543,-975.2622875191034,-967.6875126602148
-2.0766,8.4581,-882.7105036601262,-879.319448500442,-868.9975995296813
-2.0766,10.8747,-763.6880906295377,-760.8226380036383,-753.6437515435924
-2.0766,13.2914,-664.1009579015441,-667.2676350383102,-660.4241460200486
-2.0766,15.708,-591.8137991823226,-598.4923087335266,-588.6715190618185
-2.0766,18.1246,-561.4816402026585,-566.2182479480589,-562.41356185621
